region,date,recent,cumulative,date_shifted
Ontario,2020-03-14,75,103,0
Ontario,2020-03-15,113,145,1
Ontario,2020-03-16,142,177,2
Ontario,2020-03-17,152,189,3
Ontario,2020-03-18,172,214,4
Ontario,2020-03-19,199,258,5
Ontario,2020-03-20,239,318,6
Ontario,2020-03-21,274,377,7
Ontario,2020-03-22,280,425,8
Ontario,2020-03-23,326,503,9
Ontario,2020-03-24,399,588,10
Ontario,2020-03-25,474,688,11
Ontario,2020-03-26,600,858,12
Ontario,2020-03-27,675,993,13
Ontario,2020-03-28,767,1144,14
Ontario,2020-03-29,930,1355,15
Ontario,2020-03-30,1203,1706,16
Ontario,2020-03-31,1378,1966,17
Ontario,2020-04-01,2163,2851,18
Ontario,2020-04-02,2430,3288,19
Ontario,2020-04-03,2693,3686,20
Ontario,2020-04-04,2877,4021,21
Ontario,2020-04-05,3086,4441,22
Ontario,2020-04-06,3139,4845,23
Ontario,2020-04-07,3425,5391,24
Ontario,2020-04-08,2987,5838,25
Ontario,2020-04-09,3109,6397,26
Ontario,2020-04-10,3118,6804,27
Ontario,2020-04-11,3273,7294,28
Nova Scotia,2020-03-28,89,110,0
Nova Scotia,2020-03-29,94,122,1
Nova Scotia,2020-03-30,86,127,2
Nova Scotia,2020-03-31,96,147,3
Nova Scotia,2020-04-01,105,173,4
Nova Scotia,2020-04-02,120,193,5
Nova Scotia,2020-04-03,117,207,6
Nova Scotia,2020-04-04,126,236,7
Nova Scotia,2020-04-05,140,262,8
Nova Scotia,2020-04-06,166,293,9
Nova Scotia,2020-04-07,163,310,10
Nova Scotia,2020-04-08,169,342,11
Nova Scotia,2020-04-09,180,373,12
Nova Scotia,2020-04-10,200,407,13
Nova Scotia,2020-04-11,192,428,14
BC,2020-03-16,76,103,0
BC,2020-03-17,154,186,1
BC,2020-03-18,192,231,2
BC,2020-03-19,225,271,3
BC,2020-03-20,295,348,4
BC,2020-03-21,360,424,5
BC,2020-03-23,399,472,6
BC,2020-03-24,514,617,7
BC,2020-03-25,473,659,8
BC,2020-03-26,494,725,9
BC,2020-03-27,521,792,10
BC,2020-03-28,536,884,11
BC,2020-03-30,546,970,12
BC,2020-03-31,541,1013,13
BC,2020-04-01,449,1066,14
BC,2020-04-02,462,1121,15
BC,2020-04-03,449,1174,16
BC,2020-04-04,411,1203,17
BC,2020-04-06,382,1266,18
BC,2020-04-07,321,1291,19
BC,2020-04-08,323,1336,20
BC,2020-04-09,304,1370,21
BC,2020-04-10,289,1410,22
BC,2020-04-11,271,1445,23
Alberta,2020-03-18,100,119,0
Alberta,2020-03-19,123,146,1
Alberta,2020-03-20,166,195,2
Alberta,2020-03-21,187,226,3
Alberta,2020-03-22,203,259,4
Alberta,2020-03-23,227,301,5
Alberta,2020-03-24,261,358,6
Alberta,2020-03-25,300,419,7
Alberta,2020-03-26,340,486,8
Alberta,2020-03-27,347,542,9
Alberta,2020-03-28,395,621,10
Alberta,2020-03-29,402,661,11
Alberta,2020-03-30,389,690,12
Alberta,2020-03-31,396,754,13
Alberta,2020-04-01,452,871,14
Alberta,2020-04-02,482,968,15
Alberta,2020-04-03,533,1075,16
Alberta,2020-04-04,560,1181,17
Alberta,2020-04-05,589,1250,18
Alberta,2020-04-06,658,1348,19
Alberta,2020-04-07,619,1373,20
Alberta,2020-04-08,552,1423,21
Alberta,2020-04-09,483,1451,22
Alberta,2020-04-10,425,1500,23
Alberta,2020-04-11,388,1569,24
Quebec,2020-03-19,113,121,0
Quebec,2020-03-20,122,139,1
Quebec,2020-03-21,157,181,2
Quebec,2020-03-22,180,219,3
Quebec,2020-03-23,578,628,4
Quebec,2020-03-24,966,1040,5
Quebec,2020-03-25,1245,1339,6
Quebec,2020-03-26,1508,1629,7
Quebec,2020-03-27,1882,2021,8
Quebec,2020-03-28,2317,2498,9
Quebec,2020-03-29,2621,2840,10
Quebec,2020-03-30,2802,3430,11
Quebec,2020-03-31,3122,4162,12
Quebec,2020-04-01,3272,4611,13
Quebec,2020-04-02,3889,5518,14
Quebec,2020-04-03,4080,6101,15
Quebec,2020-04-04,4499,6997,16
Quebec,2020-04-05,5104,7944,17
Quebec,2020-04-06,5150,8580,18
Quebec,2020-04-07,5180,9342,19
Quebec,2020-04-08,5422,10033,20
Quebec,2020-04-09,5396,10914,21
Quebec,2020-04-10,5578,11679,22
Quebec,2020-04-11,5297,12294,23
Saskatchewan,2020-03-27,78,104,0
Saskatchewan,2020-03-28,90,134,1
Saskatchewan,2020-03-29,104,156,2
Saskatchewan,2020-03-30,110,176,3
Saskatchewan,2020-03-31,112,184,4
Saskatchewan,2020-04-01,107,193,5
Saskatchewan,2020-04-02,111,206,6
Saskatchewan,2020-04-03,116,220,7
Saskatchewan,2020-04-04,97,231,8
Saskatchewan,2020-04-05,93,249,9
Saskatchewan,2020-04-06,77,253,10
Saskatchewan,2020-04-07,76,260,11
Saskatchewan,2020-04-08,78,271,12
Saskatchewan,2020-04-09,72,278,13
Saskatchewan,2020-04-10,65,285,14
Saskatchewan,2020-04-11,58,289,15
Manitoba,2020-03-31,82,103,0
Manitoba,2020-04-01,92,127,1
Manitoba,2020-04-02,131,167,2
Manitoba,2020-04-03,143,182,3
Manitoba,2020-04-04,130,194,4
Manitoba,2020-04-05,131,203,5
Manitoba,2020-04-06,108,204,6
Manitoba,2020-04-07,114,217,7
Manitoba,2020-04-08,94,221,8
Manitoba,2020-04-09,57,224,9
Manitoba,2020-04-10,48,230,10
Manitoba,2020-04-11,49,243,11
New Brunswick,2020-04-05,35,101,0
New Brunswick,2020-04-06,35,103,1
New Brunswick,2020-04-07,35,105,2
New Brunswick,2020-04-08,27,108,3
New Brunswick,2020-04-09,20,111,4
New Brunswick,2020-04-10,17,112,5
NL,2020-03-27,98,102,0
NL,2020-03-28,114,120,1
NL,2020-03-29,126,135,2
NL,2020-03-30,124,148,3
NL,2020-03-31,117,152,4
NL,2020-04-01,108,175,5
NL,2020-04-02,101,183,6
NL,2020-04-03,93,195,7
NL,2020-04-04,83,203,8
NL,2020-04-05,82,217,9
NL,2020-04-06,78,226,10
NL,2020-04-07,76,228,11
NL,2020-04-08,57,232,12
NL,2020-04-09,53,236,13
NL,2020-04-10,44,239,14
NL,2020-04-11,38,241,15
NWT,2020-03-11,82,116,0
NWT,2020-03-12,110,156,1
NWT,2020-03-13,144,198,2
NWT,2020-03-14,197,257,3
NWT,2020-03-15,274,341,4
NWT,2020-03-16,355,441,5
NWT,2020-03-17,502,597,6
NWT,2020-03-18,611,727,7
NWT,2020-03-19,717,873,8
NWT,2020-03-20,889,1087,9
NWT,2020-03-21,1074,1331,10
NWT,2020-03-22,1130,1471,11
NWT,2020-03-23,1650,2091,12
NWT,2020-03-24,2222,2819,13
NWT,2020-03-25,2682,3409,14
NWT,2020-03-26,3170,4043,15
NWT,2020-03-27,3670,4757,16
NWT,2020-03-28,4324,5655,17
NWT,2020-03-29,4849,6320,18
NWT,2020-03-30,5357,7448,19
NWT,2020-03-31,5772,8591,20
NWT,2020-04-01,6781,10190,21
NWT,2020-04-02,7735,11778,22
NWT,2020-04-03,8223,12980,23
NWT,2020-04-04,8754,14409,24
NWT,2020-04-05,9595,15915,25
NWT,2020-04-06,9717,17165,26
NWT,2020-04-07,9973,18564,27
NWT,2020-04-08,9665,19855,28
NWT,2020-04-09,9627,21405,29
NWT,2020-04-10,9737,22717,30
NWT,2020-04-11,9557,23966,31
Italy,2020-02-23,152,155,0
Italy,2020-02-24,226,229,1
Italy,2020-02-25,319,322,2
Italy,2020-02-26,450,453,3
Italy,2020-02-27,652,655,4
Italy,2020-02-28,868,888,5
Italy,2020-02-29,1066,1128,6
Italy,2020-03-01,1539,1694,7
Italy,2020-03-02,1807,2036,8
Italy,2020-03-03,2180,2502,9
Italy,2020-03-04,2636,3089,10
Italy,2020-03-05,3203,3858,11
Italy,2020-03-06,3748,4636,12
Italy,2020-03-07,4755,5883,13
Italy,2020-03-08,5681,7375,14
Italy,2020-03-09,7136,9172,15
Italy,2020-03-10,7647,10149,16
Italy,2020-03-11,9373,12462,17
Italy,2020-03-12,8604,12462,18
Italy,2020-03-13,13024,17660,19
Italy,2020-03-14,15274,21157,20
Italy,2020-03-15,17372,24747,21
Italy,2020-03-16,18808,27980,22
Italy,2020-03-17,21357,31506,23
Italy,2020-03-18,23251,35713,24
Italy,2020-03-19,28573,41035,25
Italy,2020-03-20,29361,47021,26
Italy,2020-03-21,32421,53578,27
Italy,2020-03-22,34391,59138,28
Italy,2020-03-23,35947,63927,29
Italy,2020-03-24,37670,69176,30
Italy,2020-03-25,38673,74386,31
Italy,2020-03-26,39554,80589,32
Italy,2020-03-27,39477,86498,33
Italy,2020-03-28,38894,92472,34
Italy,2020-03-29,38551,97689,35
Italy,2020-03-30,37812,101739,36
Italy,2020-03-31,36616,105792,37
Italy,2020-04-01,36188,110574,38
Italy,2020-04-02,39321,119910,39
Italy,2020-04-03,37997,124495,40
Italy,2020-04-04,36828,129300,41
Italy,2020-04-05,35927,133616,42
Italy,2020-04-06,35476,137215,43
Italy,2020-04-07,34462,140254,44
Italy,2020-04-08,33516,144090,45
Italy,2020-04-09,28384,148294,46
Italy,2020-04-10,27750,152245,47
Italy,2020-04-11,27639,156939,48
"Korea, South",2020-02-20,76,103,0
"Korea, South",2020-02-21,176,203,1
"Korea, South",2020-02-22,405,432,2
"Korea, South",2020-02-23,573,601,3
"Korea, South",2020-02-24,803,832,4
"Korea, South",2020-02-25,946,976,5
"Korea, South",2020-02-26,1230,1260,6
"Korea, South",2020-02-27,1662,1765,7
"Korea, South",2020-02-28,2133,2336,8
"Korea, South",2020-02-29,2717,3149,9
"Korea, South",2020-03-01,3134,3735,10
"Korea, South",2020-03-02,3502,4334,11
"Korea, South",2020-03-03,4209,5185,12
"Korea, South",2020-03-04,4360,5620,13
"Korea, South",2020-03-05,4322,6087,14
"Korea, South",2020-03-06,4256,6592,15
"Korea, South",2020-03-07,3891,7040,16
"Korea, South",2020-03-08,3578,7313,17
"Korea, South",2020-03-09,3143,7477,18
"Korea, South",2020-03-10,2327,7512,19
"Korea, South",2020-03-11,2134,7754,20
"Korea, South",2020-03-12,1781,7868,21
"Korea, South",2020-03-13,1386,7978,22
"Korea, South",2020-03-14,1045,8085,23
"Korea, South",2020-03-15,848,8161,24
"Korea, South",2020-03-16,758,8235,25
"Korea, South",2020-03-17,807,8319,26
"Korea, South",2020-03-18,658,8412,27
"Korea, South",2020-03-19,696,8564,28
"Korea, South",2020-03-20,673,8651,29
"Korea, South",2020-03-21,713,8798,30
"Korea, South",2020-03-22,799,8960,31
"Korea, South",2020-03-23,725,8960,32
"Korea, South",2020-03-24,717,9036,33
"Korea, South",2020-03-25,724,9136,34
"Korea, South",2020-03-26,676,9240,35
"Korea, South",2020-03-27,680,9331,36
"Korea, South",2020-03-28,679,9477,37
"Korea, South",2020-03-29,622,9582,38
"Korea, South",2020-03-30,700,9660,39
"Korea, South",2020-03-31,749,9785,40
"Korea, South",2020-04-01,750,9886,41
"Korea, South",2020-04-02,824,10064,42
"Korea, South",2020-04-03,819,10150,43
"Korea, South",2020-04-04,767,10244,44
"Korea, South",2020-04-05,743,10325,45
"Korea, South",2020-04-06,712,10372,46
"Korea, South",2020-04-07,634,10419,47
"Korea, South",2020-04-08,586,10472,48
"Korea, South",2020-04-09,447,10511,49
"Korea, South",2020-04-10,388,10538,50
"Korea, South",2020-04-11,324,10568,51
Spain,2020-03-02,118,120,0
Spain,2020-03-03,159,165,1
Spain,2020-03-04,209,222,2
Spain,2020-03-05,244,259,3
Spain,2020-03-06,368,400,4
Spain,2020-03-07,455,500,5
Spain,2020-03-08,589,673,6
Spain,2020-03-09,953,1073,7
Spain,2020-03-10,1530,1695,8
Spain,2020-03-11,2055,2277,9
Spain,2020-03-12,2018,2277,10
Spain,2020-03-13,4832,5232,11
Spain,2020-03-14,5891,6391,12
Spain,2020-03-15,7125,7798,13
Spain,2020-03-16,8869,9942,14
Spain,2020-03-17,10053,11748,15
Spain,2020-03-18,11633,13910,16
Spain,2020-03-19,15686,17963,17
Spain,2020-03-20,15178,20410,18
Spain,2020-03-21,18983,25374,19
Spain,2020-03-22,20970,28768,20
Spain,2020-03-23,25194,35136,21
Spain,2020-03-24,28137,39885,22
Spain,2020-03-25,35605,49515,23
Spain,2020-03-26,39823,57786,24
Spain,2020-03-27,45309,65719,25
Spain,2020-03-28,47861,73235,26
Spain,2020-03-29,51342,80110,27
Spain,2020-03-30,52820,87956,28
Spain,2020-03-31,56038,95923,29
Spain,2020-04-01,54603,104118,30
Spain,2020-04-02,62226,120012,31
Spain,2020-04-03,61427,127146,32
Spain,2020-04-04,60880,134115,33
Spain,2020-04-05,59483,139593,34
Spain,2020-04-06,56666,144622,35
Spain,2020-04-07,53966,149889,36
Spain,2020-04-08,52049,156167,37
Spain,2020-04-09,41157,161169,38
Spain,2020-04-10,39074,166220,39
Spain,2020-04-11,36859,170974,40
United Kingdom,2020-03-05,101,116,0
United Kingdom,2020-03-06,144,164,1
United Kingdom,2020-03-07,184,207,2
United Kingdom,2020-03-08,238,274,3
United Kingdom,2020-03-09,282,322,4
United Kingdom,2020-03-10,333,384,5
United Kingdom,2020-03-11,373,459,6
United Kingdom,2020-03-12,343,459,7
United Kingdom,2020-03-13,638,802,8
United Kingdom,2020-03-14,937,1144,9
United Kingdom,2020-03-15,871,1145,10
United Kingdom,2020-03-16,1229,1551,11
United Kingdom,2020-03-17,1576,1960,12
United Kingdom,2020-03-18,2183,2642,13
United Kingdom,2020-03-19,2257,2716,14
United Kingdom,2020-03-20,3212,4014,15
United Kingdom,2020-03-21,3923,5067,16
United Kingdom,2020-03-22,4600,5745,17
United Kingdom,2020-03-23,5175,6726,18
United Kingdom,2020-03-24,6204,8164,19
United Kingdom,2020-03-25,6998,9640,20
United Kingdom,2020-03-26,9096,11812,21
United Kingdom,2020-03-27,10731,14745,22
United Kingdom,2020-03-28,12245,17312,23
United Kingdom,2020-03-29,14035,19780,24
United Kingdom,2020-03-30,15727,22453,25
United Kingdom,2020-03-31,17317,25481,26
United Kingdom,2020-04-01,20225,29865,27
United Kingdom,2020-04-02,26669,38481,28
United Kingdom,2020-04-03,28252,42997,29
United Kingdom,2020-04-04,29473,46785,30
United Kingdom,2020-04-05,32964,52744,31
United Kingdom,2020-04-06,34134,56587,32
United Kingdom,2020-04-07,34776,60257,33
United Kingdom,2020-04-08,35917,65782,34
United Kingdom,2020-04-09,31699,70180,35
United Kingdom,2020-04-10,35916,78913,36
United Kingdom,2020-04-11,37397,84182,37
France,2020-02-29,88,100,0
France,2020-03-01,118,130,1
France,2020-03-02,179,191,2
France,2020-03-03,190,204,3
France,2020-03-04,270,288,4
France,2020-03-05,342,380,5
France,2020-03-06,599,656,6
France,2020-03-07,859,959,7
France,2020-03-08,1006,1136,8
France,2020-03-09,1028,1219,9
France,2020-03-10,1590,1794,10
France,2020-03-11,2005,2293,11
France,2020-03-12,1913,2293,12
France,2020-03-13,3025,3681,13
France,2020-03-14,3537,4496,14
France,2020-03-15,3396,4532,15
France,2020-03-16,5464,6683,16
France,2020-03-17,5921,7715,17
France,2020-03-18,6831,9124,18
France,2020-03-19,8677,10970,19
France,2020-03-20,9077,12758,20
France,2020-03-21,9967,14463,21
France,2020-03-22,11711,16243,22
France,2020-03-23,13440,20123,23
France,2020-03-24,14907,22622,24
France,2020-03-25,16476,25600,25
France,2020-03-26,18581,29551,26
France,2020-03-27,20644,33402,27
France,2020-03-28,23642,38105,28
France,2020-03-29,24465,40708,29
France,2020-03-30,25047,45170,30
France,2020-03-31,30205,52827,31
France,2020-04-01,32149,57749,32
France,2020-04-02,32558,62109,33
France,2020-04-03,33980,67382,34
France,2020-04-04,54923,93028,35
France,2020-04-05,55245,95953,36
France,2020-04-06,55973,101143,37
France,2020-04-07,59418,112245,38
France,2020-04-08,58390,116139,39
France,2020-04-09,58852,120961,40
France,2020-04-10,60729,128111,41
France,2020-04-11,39879,132907,42
US,2020-03-03,67,117,0
US,2020-03-04,92,148,1
US,2020-03-05,159,216,2
US,2020-03-06,202,261,3
US,2020-03-07,334,401,4
US,2020-03-08,444,517,5
US,2020-03-09,485,582,6
US,2020-03-10,841,958,7
US,2020-03-11,1132,1280,8
US,2020-03-12,1446,1662,9
US,2020-03-13,1917,2178,10
US,2020-03-14,2325,2726,11
US,2020-03-15,2981,3498,12
US,2020-03-16,4049,4631,13
US,2020-03-17,5462,6420,14
US,2020-03-18,6502,7782,15
US,2020-03-19,12014,13676,16
US,2020-03-20,16921,19099,17
US,2020-03-21,22762,25488,18
US,2020-03-22,29777,33275,19
US,2020-03-23,39215,43846,20
US,2020-03-24,47319,53739,21
US,2020-03-25,57995,65777,22
US,2020-03-26,70159,83835,23
US,2020-03-27,82557,101656,24
US,2020-03-28,95989,121477,25
US,2020-03-29,107610,140885,26
US,2020-03-30,117960,161806,27
US,2020-03-31,134432,188171,28
US,2020-04-01,147594,213371,29
US,2020-04-02,159617,243452,30
US,2020-04-03,173929,275585,31
US,2020-04-04,187372,308849,32
US,2020-04-05,196186,337071,33
US,2020-04-06,204807,366613,34
US,2020-04-07,207998,396169,35
US,2020-04-08,215627,428998,36
US,2020-04-09,217931,461383,37
US,2020-04-10,220896,496481,38
US,2020-04-11,247354,556203,39
